V1	V2	V3					
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.871108263800587	40
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.732078397167771	40
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.421371952211905	41
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.751804321593521	41
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.627104734216645	41
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.769668721023336	41
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.90741908126027	41
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.700111058351857	41
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.441823380893922	41
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.828675348635401	41
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.316530411005987	41
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.827755660473569	41
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.927919507883853	41
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.880091843972195	41
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.93916781005475	41
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.760570019580442	41
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.393118648309265	42
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.629671242766716	42
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.732747182322648	42
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.748000519484253	42
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.896298272344504	42
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.629470908825062	42
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.311541306897028	42
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.82591515646878	42
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.245116748454015	42
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.805148168968765	42
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.870962040506132	42
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.858631772201171	42
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.890042397054788	42
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.709334864114909	42
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.28480636385521	43
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.641445835668929	43
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.75538498730003	43
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.782765703562915	43
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.884524858753622	43
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.620966524086771	43
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.444271958701332	43
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.785127335151629	43
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.250048043023248	43
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.840206567275784	43
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.711859172182379	43
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.815392410135839	43
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.968528447743069	43
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.803616546666637	43
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.376172601127528	44
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.659585242599459	44
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.699510784489217	44
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.794624292073725	44
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.839188108025475	44
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.619810564917927	44
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.366117633978972	44
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.827630602351531	44
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.22428826022039	44
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.84082027601741	44
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.821578985926223	44
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.856726721939877	44
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.761139533089699	44
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.833214766123209	44
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.37926747542486	45
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.788670815046247	45
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.748394498490289	45
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.663447757155842	45
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.868576103618373	45
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.687441262575751	45
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.501956393238667	45
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.830974037392416	45
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.158368608489128	45
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.822698664790913	45
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.844407249782115	45
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.829071768529721	45
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.882024509443028	45
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.725407828975246	45
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.352765740523029	46
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.640710523803979	46
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.646149715978567	46
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.708157898774265	46
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.872904213536638	46
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.597059291256625	46
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.462187712017722	46
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.832364484947102	46
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.262532954311089	46
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.833446362070112	46
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.798541445759886	46
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.821105799501703	46
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.938327789033181	46
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.760204445920021	46
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.323518339901801	47
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.741067258711914	47
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.733188558132997	47
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.7820689313582	47
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.866490093334237	47
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.696458503442504	47
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.552727851403527	47
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.81034487571464	47
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.202408732078469	47
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.851184528915606	47
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.942626790084305	47
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.83608279947742	47
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.931923001944415	47
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.722807275047563	47
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.380636270041892	48
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.637609323215716	48
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.758837628022679	48
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.705598029060842	48
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.778011421954639	48
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.564114149831232	48
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.209238133406641	48
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.770900572975905	48
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.284226163232789	48
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.806489561248965	48
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.735584871632322	48
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.808212002665167	48
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.899836906090981	48
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.76383810564884	48
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.387886721022339	49
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.590641589058478	49
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.833237759920385	49
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.794283303632496	49
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.859632776613247	49
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.656622637794732	49
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.38516164088729	49
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.780683728273408	49
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.247688483372309	49
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.82333090400376	49
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.913596361752803	49
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.874001949743769	49
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.987127030743183	49
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.80965578019042	49
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.39876346511482	50
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.766564543952803	50
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.70755852605193	50
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.705960026253975	50
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.901352111362991	50
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.644168659734666	50
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.373702270157039	50
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.842158193508246	50
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.207652360102505	50
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.767641781497984	50
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.898329989699316	50
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.842966536811059	50
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.94327440912766	50
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.708542697144657	50
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.384202073206354	51
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.7822084213792	51
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.747706956840494	51
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.718532992973716	51
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.851436463708123	51
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.574666323559897	51
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.605456909158474	51
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.799472027708391	51
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.190912420681935	51
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.872255797315267	51
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.927396012095059	51
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.847348816470466	51
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.816877918631987	51
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.68952357279813	51
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.39395241431731	52
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.706332857315801	52
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.659590298561413	52
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.784731366534627	52
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.884799632738409	52
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.612509944446266	52
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.608641874026521	52
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.819530846764102	52
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.24761465950226	52
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.84093338218689	52
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.894945397677499	52
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.880353704281572	52
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.784589139179523	52
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.791048369369907	52
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.394171505233346	53
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.647852454140871	53
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.721922476793782	53
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.802256782721235	53
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.887198545620092	53
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.536001452565303	53
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.37632962014211	53
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.815721852832935	53
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.185744904614008	53
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.914491268698379	53
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.780134453724674	53
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.801834779163773	53
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.85781473583281	53
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.769464141458309	53
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.310781878245265	54
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.550912736052094	54
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.886566574635986	54
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.822898044876456	54
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.856171617093125	54
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.615376179438	54
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.331139504721427	54
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.800328748974024	54
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.270067348420538	54
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.787382783839282	54
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.815243065674658	54
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.844456630491902	54
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.88946801375254	54
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.753788335792852	54
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.412886230811531	55
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.726876215860773	55
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.624588527002948	55
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.82228460050608	55
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.88282091908291	55
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.700924831474917	55
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.574556737946827	55
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.776692654139805	55
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.23131782927991	55
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.87333175207429	55
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.854385805012817	55
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.858704995086859	55
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.865906219831676	55
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.789161774748103	55
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.346102098885661	56
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.713449126400521	56
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.725719687966042	56
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.774875093659454	56
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.845841503614936	56
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.762672630246688	56
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.37365141278309	56
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.819534825874243	56
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.21286711971943	56
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.839652773932081	56
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.89073588450123	56
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.80535494177436	56
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.943729863726946	56
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.7965011689762	56
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.372596024399056	57
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.737715520416596	57
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.876452822461675	57
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.723917323721526	57
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.892275962364103	57
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.74865956754098	57
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.515942674028841	57
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.799747498146033	57
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.251837269250163	57
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.849467181117891	57
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.896713874137295	57
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.828890217852717	57
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.921960020037396	57
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.719717799838584	57
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.342155325362489	58
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.70747906863085	58
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.689977012172794	58
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.808753523069948	58
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.830673217483598	58
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.736782191016327	58
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.585941381665619	58
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.78578188793042	58
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.264911773213955	58
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.811373110331571	58
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.901320743490438	58
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.816257183104747	58
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.947942887679881	58
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.758356890314438	58
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.399898718288324	59
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.683018576292114	59
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.741676843420413	59
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.727526349567153	59
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.895189154271968	59
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.740294062639168	59
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.429698997403076	59
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.784650284508927	59
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.261026510554804	59
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.8743990161138	59
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.940928194606086	59
PLX4720	PLX4720	PLX-4720	0.521233431474875	-0.525193424111984	336	0.885451393393725	59
Sorafenib	Sorafenib	Sorafenib	0.400941561804981	-0.393027620531589	101	0.861061321864265	59
TAE684	TAE684	NVP-TAE684	0.486107452322865	-0.310075877840133	105	0.793418613305377	59
17-AAG	X17.AAG	Tanespimycin	0.506594322959209	-0.22161984683962	297	0.265956093402194	60
AZD0530	AZD0530	Saracatinib	0.556688047765812	-0.562281612628456	105	0.670121468651679	60
Erlotinib	Erlotinib	Erlotinib	0.365744859978835	-0.10318007404433	92	0.724617848446171	60
Lapatinib	Lapatinib	Lapatinib	0.491601925816891	-0.444033661918193	98	0.708625158612516	60
Nilotinib	Nilotinib	Nilotinib	0.750106999953418	-0.518465335783873	228	0.843017802789578	60
Nutlin-3	Nutlin.3	Nutlin-3a (-)	0.27665301118528	-0.286969434458493	298	0.702990335243351	60
Paclitaxel	Paclitaxel	Paclitaxel	0.40406967510035	-0.191860493812061	101	0.386365437560394	60
PD-0325901	PD.0325901	PD0325901	0.635847232950186	-0.576775534225853	294	0.804443178040208	60
PD-0332991	PD.0332991	Palbociclib	0.173693552978551	-0.153160528449011	240	0.230029439528723	60
PF2341066	PF2341066	Crizotinib	0.540383266091452	-0.577841432789624	105	0.872020041365887	60
PHA-665752	PHA.665752	PHA-665752	0.322053963548082	-0.237962191105056	105	0.745460149756397	60
